Имя,Цена
TATASTEEL,14255
M&M,180795
HDFCLIFE,63495
BHARTIARTL,122500
NTPC,31710
APOLLOHOSP,599775
INDUSINDBK,148725
WIPRO,51800
COALINDIA,41600
HCLTECH,164990
RELIANCE,284000
BRITANNIA,498000
DRREDDY,629210
LTIM,520000
ONGC,25895
TATACONSUM,121305
CIPLA,148900
SUNPHARMA,154825
POWERGRID,26595
JSWSTEEL,78065
TATAMOTORS,94585
DIVISLAB,348540
LT,353715
BPCL,58645
NESTLEIND,260365
BAJFINANCE,651435
TECHM,128200
EICHERMOT,374500
ITC,41900
UPL,47500
BAJAJFINSV,157095
KOTAKBANK,173740
ASIANPAINT,286600
ULTRACEMCO,962500
BAJAJ-AUTO,834300
TCS,421525
HINDALCO,53200
AXISBANK,104400
INFY,163000
HINDUNILVR,232080
MARUTI,1143665
HDFCBANK,144700
TITAN,361900
SBILIFE,149300
ICICIBANK,107505
HEROMOTOCO,456050
SBIN,72710
GRASIM,218100
ADANIPORTS,125000
ADANIENT,305010
